id_cliente,cpf,nome,data_nascimento,genero,email,telefone
1,941.730.258-23,João Vitor da Rocha,1992-05-19,M,joao.rocha@email.com,+55 81 3253 6729
2,718.342.596-73,Dr. Oliver Garcia,1966-12-02,M,dr..garcia@email.com,0800 017 5186
3,745.629.183-73,Paulo Cunha,1998-04-17,M,paulo.cunha@email.com,(081) 0017 0127
4,324.180.567-08,Alexandre Lima,1969-12-14,M,alexandre.lima@email.com,+55 (041) 0643-6110
5,237.069.518-86,Pietra Barbosa,1977-02-26,F,pietra.barbosa@email.com,+55 11 3611 1554
6,291.460.738-50,Mateus Vasconcelos,1993-10-23,M,mateus.vasconcelos@email.com,+55 11 2697-3112
7,652.170.983-68,Matheus Ferreira,1997-08-28,M,matheus.ferreira@email.com,+55 (041) 4389 8364
8,613.754.029-43,Sr. Isaque Monteiro,1969-03-22,M,sr..monteiro@email.com,(051) 2696 5827
9,104.985.326-15,Allana Pastor,1987-06-04,F,allana.pastor@email.com,21 6661-8892
10,183.694.250-89,Antonella das Neves,1965-10-03,F,antonella.neves@email.com,(021) 3031-6179
11,210.587.639-03,Benjamin das Neves,1980-03-28,M,benjamin.neves@email.com,41 4252-4105
12,149.368.207-50,Júlia Moura,2003-02-16,F,julia.moura@email.com,0300 252 4191
13,093.872.564-56,Sophia Abreu,2002-12-31,F,sophia.abreu@email.com,+55 (051) 8635 3654
14,802.149.356-98,Maria Fernanda Campos,2003-08-01,F,maria.campos@email.com,(011) 4518 7053
15,937.248.160-22,Kevin Sousa,1954-11-23,M,kevin.sousa@email.com,+55 (011) 6038 5050
16,389.760.125-77,Sra. Lorena Caldeira,1950-12-24,F,sra..caldeira@email.com,+55 (061) 3865 7191
17,610.358.492-24,Davi Luiz Porto,2002-07-21,M,davi.porto@email.com,(051) 6557 4313
18,127.386.059-40,Cauê Cassiano,1997-01-25,M,caue.cassiano@email.com,+55 (084) 7474-1124
19,213.974.068-87,Sr. Henrique Duarte,1962-05-09,M,sr..duarte@email.com,+55 (051) 0678-8317
20,093.167.248-13,Cecilia Campos,1984-04-10,F,cecilia.campos@email.com,0900 410 1372
21,079.143.568-75,Lucas Campos,1970-09-10,M,lucas.campos@email.com,(011) 2532-4472
22,476.930.812-40,Isabelly Ramos,1953-12-27,F,isabelly.ramos@email.com,84 3838 0657
23,985.321.046-06,Ryan Ferreira,1946-08-23,M,ryan.ferreira@email.com,+55 84 0785-9321
24,803.472.196-40,Isabella da Mata,1984-12-20,F,isabella.mata@email.com,(051) 5905 9929
25,427.065.189-01,Sabrina Nogueira,1946-01-02,F,sabrina.nogueira@email.com,51 7059 3252
26,291.648.075-76,Bento Almeida,1984-07-11,M,bento.almeida@email.com,+55 41 5452 2675
27,926.857.104-85,Maria Alice Câmara,1992-06-02,F,maria.camara@email.com,0500 690 2959
28,251.798.640-11,Cauã Monteiro,2000-07-24,M,caua.monteiro@email.com,(071) 7043 3154
