id_transacao,data_transacao,valor,operacao,numero_cartao,id_cartao,descricao,created_at
01000154240222183622592252,2024-01-01 00:54:02,80253.2,cartao,5593073098274093,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01020116241704860102317762,2024-01-01 02:16:17,12468.56,cartao,5212810033222237,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01000125244227945818886848,2024-01-01 00:25:42,76856.15,cartao,5408871583686645,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01150133241235378285177422,2024-01-01 15:33:12,40760.95,cartao,5157002562330535,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01230135241653324766948540,2024-01-01 23:35:16,15787.86,cartao,5304574253137641,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01080148242691365237336293,2024-01-01 08:48:26,21472.47,cartao,5536665268114321,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01140137245026621762144511,2024-01-01 14:37:50,27218.86,cartao,5198924655297258,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01190133241118271869998647,2024-01-01 19:33:11,18160.75,cartao,5377969179953218,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01220119243922064585063911,2024-01-01 22:19:39,17550.87,cartao,5287200268497271,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01090126240519614264122073,2024-01-01 09:26:05,6041.13,cartao,5344252644777319,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01230127240741710752477651,2024-01-01 23:27:07,53369.98,cartao,5574731527336268,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
01110152240286415408969723,2024-01-01 11:52:02,28473.04,cartao,5597561879836848,,Pagamentos com cartão - mov_pagamentos_cartoes.csv,2025-08-25 18:24:27.939422
